2026-08-03 23:57:29,613 INFO started fleet (pid 2832)
2026-08-03 23:57:29,632 INFO started dash (pid 6696)
2026-08-03 23:57:29,632 INFO supervising 2 children | MAKER_DB=run/fleet.db
23:57:30 INFO fleet starting | 20 markets | $0/day funded | offset 2.0c
INFO:     Started server process [6696]
INFO:     Waiting for application startup.
INFO:     Application startup complete.
INFO:     Uvicorn running on http://127.0.0.1:8800 (Press CTRL+C to quit)
23:57:58 INFO sweep | 7/20 scoring | est $38.98/day | offers $653 | committed $1000/1000 | naked $210 | funded 6/20 | verified 100.0% (18v/0u)
23:58:21 INFO sweep | 6/20 scoring | est $46.99/day | offers $653 | committed $1000/1000 | naked $210 | funded 6/20 | verified 100.0% (18v/0u)
23:58:44 INFO sweep | 6/20 scoring | est $42.18/day | offers $653 | committed $1000/1000 | naked $210 | funded 6/20 | verified 100.0% (18v/0u)
23:59:08 INFO sweep | 6/20 scoring | est $41.79/day | offers $653 | committed $1000/1000 | naked $210 | funded 6/20 | verified 100.0% (18v/0u)
23:59:31 INFO sweep | 6/20 scoring | est $41.55/day | offers $653 | committed $1000/1000 | naked $210 | funded 6/20 | verified 100.0% (18v/0u)
23:59:55 INFO sweep | 6/20 scoring | est $41.43/day | offers $653 | committed $1000/1000 | naked $210 | funded 6/20 | verified 100.0% (18v/0u)
00:00:19 INFO sweep | 6/20 scoring | est $201.89/day | offers $653 | committed $1000/1000 | naked $210 | funded 6/20 | verified 100.0% (18v/0u)
00:00:42 INFO sweep | 6/20 scoring | est $198.04/day | offers $653 | committed $1000/1000 | naked $210 | funded 6/20 | verified 100.0% (18v/0u)
00:01:05 INFO sweep | 6/20 scoring | est $68.30/day | offers $653 | committed $1000/1000 | naked $210 | funded 6/20 | verified 100.0% (18v/0u)
00:01:29 INFO sweep | 6/20 scoring | est $63.45/day | offers $653 | committed $1000/1000 | naked $210 | funded 6/20 | verified 100.0% (18v/0u)
00:01:52 INFO sweep | 6/20 scoring | est $803.52/day | offers $653 | committed $1000/1000 | naked $210 | funded 6/20 | verified 100.0% (18v/0u)
00:02:16 INFO sweep | 6/20 scoring | est $777.28/day | offers $653 | committed $1000/1000 | naked $210 | funded 6/20 | verified 100.0% (18v/0u)
00:02:40 INFO sweep | 6/20 scoring | est $39.97/day | offers $653 | committed $1000/1000 | naked $210 | funded 6/20 | verified 100.0% (18v/0u)
00:03:03 INFO sweep | 5/20 scoring | est $36.10/day | offers $635 | committed $981/1000 | naked $210 | funded 6/20 | verified 100.0% (18v/0u)
00:03:26 INFO sweep | 6/20 scoring | est $102.19/day | offers $653 | committed $999/1000 | naked $210 | funded 6/20 | verified 100.0% (18v/0u)
00:03:49 INFO sweep | 6/20 scoring | est $93.93/day | offers $653 | committed $999/1000 | naked $210 | funded 6/20 | verified 100.0% (18v/0u)
00:04:12 INFO sweep | 6/20 scoring | est $45.80/day | offers $651 | committed $997/1000 | naked $210 | funded 6/20 | verified 100.0% (18v/0u)
00:04:35 INFO sweep | 6/20 scoring | est $46.76/day | offers $651 | committed $997/1000 | naked $210 | funded 6/20 | verified 100.0% (18v/0u)
00:04:59 INFO sweep | 6/20 scoring | est $130.83/day | offers $653 | committed $999/1000 | naked $210 | funded 6/20 | verified 100.0% (18v/0u)
00:05:22 INFO sweep | 6/20 scoring | est $51.36/day | offers $652 | committed $999/1000 | naked $210 | funded 6/20 | verified 100.0% (18v/0u)
00:05:46 INFO sweep | 6/20 scoring | est $738.07/day | offers $653 | committed $999/1000 | naked $210 | funded 6/20 | verified 100.0% (18v/0u)
00:06:10 INFO sweep | 6/20 scoring | est $57.64/day | offers $652 | committed $999/1000 | naked $210 | funded 6/20 | verified 100.0% (18v/0u)
00:06:32 INFO sweep | 6/20 scoring | est $53.82/day | offers $652 | committed $999/1000 | naked $210 | funded 6/20 | verified 100.0% (18v/0u)
00:06:56 INFO sweep | 6/20 scoring | est $97.01/day | offers $653 | committed $999/1000 | naked $210 | funded 6/20 | verified 100.0% (18v/0u)
00:07:19 INFO sweep | 6/20 scoring | est $119.69/day | offers $653 | committed $999/1000 | naked $210 | funded 6/20 | verified 100.0% (18v/0u)
00:07:42 INFO sweep | 6/20 scoring | est $58.13/day | offers $653 | committed $999/1000 | naked $210 | funded 6/20 | verified 100.0% (18v/0u)
00:08:05 INFO sweep | 6/20 scoring | est $69.31/day | offers $652 | committed $999/1000 | naked $210 | funded 6/20 | verified 100.0% (18v/0u)
00:08:29 INFO sweep | 6/20 scoring | est $58.89/day | offers $653 | committed $999/1000 | naked $210 | funded 6/20 | verified 100.0% (18v/0u)
00:08:52 INFO sweep | 6/20 scoring | est $60.29/day | offers $653 | committed $999/1000 | naked $210 | funded 6/20 | verified 100.0% (18v/0u)
00:09:15 INFO sweep | 6/20 scoring | est $58.84/day | offers $653 | committed $999/1000 | naked $210 | funded 6/20 | verified 100.0% (18v/0u)
00:09:39 INFO sweep | 6/20 scoring | est $54.38/day | offers $652 | committed $999/1000 | naked $210 | funded 6/20 | verified 100.0% (18v/0u)
00:10:02 INFO sweep | 6/20 scoring | est $58.67/day | offers $651 | committed $997/1000 | naked $210 | funded 6/20 | verified 100.0% (18v/0u)
00:10:25 INFO sweep | 6/20 scoring | est $57.79/day | offers $651 | committed $997/1000 | naked $210 | funded 6/20 | verified 100.0% (18v/0u)
00:10:49 INFO sweep | 6/20 scoring | est $67.42/day | offers $652 | committed $999/1000 | naked $210 | funded 6/20 | verified 100.0% (18v/0u)
00:11:12 INFO sweep | 6/20 scoring | est $59.18/day | offers $652 | committed $999/1000 | naked $210 | funded 6/20 | verified 100.0% (18v/0u)
00:11:35 INFO sweep | 6/20 scoring | est $46.50/day | offers $652 | committed $999/1000 | naked $210 | funded 6/20 | verified 100.0% (18v/0u)
00:11:59 INFO sweep | 6/20 scoring | est $46.94/day | offers $652 | committed $999/1000 | naked $210 | funded 6/20 | verified 100.0% (18v/0u)
00:12:22 INFO sweep | 6/20 scoring | est $44.00/day | offers $652 | committed $999/1000 | naked $210 | funded 6/20 | verified 100.0% (18v/0u)
00:12:46 INFO sweep | 6/20 scoring | est $46.02/day | offers $652 | committed $999/1000 | naked $210 | funded 6/20 | verified 100.0% (18v/0u)
00:13:10 INFO sweep | 6/20 scoring | est $43.40/day | offers $652 | committed $999/1000 | naked $210 | funded 6/20 | verified 100.0% (18v/0u)
00:13:33 INFO sweep | 6/20 scoring | est $40.48/day | offers $652 | committed $999/1000 | naked $210 | funded 6/20 | verified 100.0% (18v/0u)
00:13:56 INFO sweep | 6/20 scoring | est $44.34/day | offers $652 | committed $999/1000 | naked $210 | funded 6/20 | verified 100.0% (18v/0u)
00:14:19 INFO sweep | 6/20 scoring | est $40.18/day | offers $651 | committed $997/1000 | naked $210 | funded 6/20 | verified 100.0% (18v/0u)
00:14:42 INFO sweep | 6/20 scoring | est $40.76/day | offers $651 | committed $997/1000 | naked $210 | funded 6/20 | verified 100.0% (18v/0u)
00:15:05 INFO sweep | 5/20 scoring | est $31.08/day | offers $649 | committed $996/1000 | naked $210 | funded 6/20 | verified 100.0% (18v/0u)
00:15:29 INFO sweep | 6/20 scoring | est $887.24/day | offers $653 | committed $999/1000 | naked $210 | funded 6/20 | verified 100.0% (18v/0u)
00:15:52 INFO sweep | 6/20 scoring | est $86.62/day | offers $652 | committed $999/1000 | naked $210 | funded 6/20 | verified 100.0% (18v/0u)
00:16:15 INFO sweep | 6/20 scoring | est $65.85/day | offers $652 | committed $999/1000 | naked $210 | funded 6/20 | verified 100.0% (18v/0u)
00:16:39 INFO sweep | 6/20 scoring | est $91.80/day | offers $653 | committed $999/1000 | naked $210 | funded 6/20 | verified 100.0% (18v/0u)
00:17:05 INFO sweep | 6/20 scoring | est $127.73/day | offers $653 | committed $999/1000 | naked $210 | funded 6/20 | verified 100.0% (18v/0u)
00:17:29 INFO sweep | 6/20 scoring | est $64.90/day | offers $652 | committed $999/1000 | naked $210 | funded 6/20 | verified 100.0% (18v/0u)
00:17:53 INFO sweep | 6/20 scoring | est $41.73/day | offers $651 | committed $997/1000 | naked $210 | funded 6/20 | verified 100.0% (18v/0u)
00:18:21 INFO sweep | 6/20 scoring | est $43.49/day | offers $651 | committed $997/1000 | naked $210 | funded 6/20 | verified 100.0% (18v/0u)
00:18:44 INFO sweep | 6/20 scoring | est $44.89/day | offers $651 | committed $997/1000 | naked $210 | funded 6/20 | verified 100.0% (18v/0u)
00:19:08 INFO sweep | 6/20 scoring | est $43.59/day | offers $651 | committed $997/1000 | naked $210 | funded 6/20 | verified 100.0% (18v/0u)
00:19:31 INFO sweep | 6/20 scoring | est $57.56/day | offers $652 | committed $999/1000 | naked $210 | funded 6/20 | verified 100.0% (18v/0u)
00:19:54 INFO sweep | 6/20 scoring | est $51.25/day | offers $652 | committed $999/1000 | naked $210 | funded 6/20 | verified 100.0% (18v/0u)
00:20:18 INFO sweep | 6/20 scoring | est $42.37/day | offers $651 | committed $997/1000 | naked $210 | funded 6/20 | verified 100.0% (18v/0u)
00:20:41 INFO sweep | 6/20 scoring | est $42.42/day | offers $651 | committed $997/1000 | naked $210 | funded 6/20 | verified 100.0% (18v/0u)
00:20:57 INFO FILL National Bank Open: Michael  UP   43sh @ 0.560
00:21:04 INFO sweep | 5/20 scoring | est $35.46/day | offers $629 | committed $1000/1000 | naked $234 | funded 6/20 | verified 100.0% (19v/0u)
00:21:28 INFO sweep | 5/20 scoring | est $30.82/day | offers $629 | committed $1000/1000 | naked $234 | funded 6/20 | verified 100.0% (19v/0u)
00:21:51 INFO sweep | 5/20 scoring | est $30.29/day | offers $629 | committed $1000/1000 | naked $234 | funded 6/20 | verified 100.0% (19v/0u)
00:22:14 INFO sweep | 5/20 scoring | est $29.41/day | offers $629 | committed $1000/1000 | naked $234 | funded 6/20 | verified 100.0% (19v/0u)
00:22:38 INFO sweep | 5/20 scoring | est $49.58/day | offers $629 | committed $1000/1000 | naked $234 | funded 6/20 | verified 100.0% (19v/0u)
00:23:01 INFO sweep | 5/20 scoring | est $40.78/day | offers $629 | committed $1000/1000 | naked $234 | funded 6/20 | verified 100.0% (19v/0u)
00:23:24 INFO sweep | 6/20 scoring | est $43.71/day | offers $629 | committed $1000/1000 | naked $234 | funded 6/20 | verified 100.0% (19v/0u)
00:23:47 INFO sweep | 6/20 scoring | est $50.82/day | offers $629 | committed $1000/1000 | naked $234 | funded 6/20 | verified 100.0% (19v/0u)
00:24:10 INFO sweep | 6/20 scoring | est $50.89/day | offers $629 | committed $1000/1000 | naked $234 | funded 6/20 | verified 100.0% (19v/0u)
